,NPU,"Count, Total population, 2015","Median, Median age (years), 2015","Median, Median value of owner-occupied unit (dollars), 2015","Median, Median gross rent (dollars), 2015","Median, Median household Income, 2015","Percent, Public transportation (excluding taxicab) to work, 2015","Percent, Walked to work, 2015","Percent, Other means to work, 2015",Crime Count,Neighborhood,Location,Coordinate
0,NPU V,5328,34.7,72308.0,894.0,20732.0,37.0,2.3,0.6,187,Adair Park,"Adair Park, Atlanta, GA 30310, USA","(33.7302639, -84.4107008)"
1,NPU V,3524,33.6,155834.0,774.0,22852.0,11.5,4.5,3.3,187,Capitol Gateway,"89 Woodward Ave SE, Atlanta, GA 30312, USA","(33.7453143, -84.38412249999999)"
2,NPU V,3645,27.5,85625.0,668.0,17484.0,28.6,0.0,0.0,187,Mechanicsville,"Mechanicsville, Atlanta, GA, USA","(33.7419681, -84.3957413)"
3,NPU V,3044,29.6,120366.0,847.0,20292.0,12.9,1.6,2.4,187,Peoplestown,"Peoplestown, Atlanta, GA 30315, USA","(33.7278848, -84.3852043)"
4,NPU R,7148,34.6,115395.0,867.0,33988.0,17.0,1.2,1.0,146,Adams Park,"Adams Park, Atlanta, GA 30311, USA","(33.7144587, -84.4618943)"
5,NPU R,6584,31.5,93569.0,736.0,13511.0,42.7,1.5,0.0,146,Campbellton Road,"Campbellton Rd SW, Atlanta, GA, USA","(33.6989276, -84.4823359)"
6,NPU R,5021,28.6,85900.0,827.0,21901.0,16.7,0.0,0.0,146,Greenbriar,"Greenbriar, Atlanta, GA, USA","(33.6824236, -84.4933758)"
7,NPU H,2312,29.9,64550.0,747.0,19798.0,22.7,3.6,0.1,81,Adamsville,"Adamsville, Atlanta, GA 30331, USA","(33.7595402, -84.5054158)"
8,NPU H,4559,42.5,77649.0,821.0,32508.0,17.4,0.1,0.1,81,Baker Hills,"Baker Hills, Atlanta, GA, USA","(33.7602634, -84.5209081)"
9,NPU H,3445,35.3,66038.0,832.0,25683.0,17.1,1.6,0.7,81,Bankhead Courts,"Bankhead Courts, Atlanta, GA 30331, USA","(33.7935287, -84.5018991)"
10,NPU H,5135,31.0,64989.0,799.0,28803.0,22.7,2.0,0.2,81,Fairburn Mays,"Fairburn Mays, Atlanta, GA 30331, USA","(33.7403015, -84.5104212)"
11,NPU X,0,,,,,,,,161,Airport,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA","(33.6407282, -84.4277001)"
12,NPU X,3072,41.3,73094.0,1143.0,41450.0,21.9,0.4,1.7,161,Capitol View,"Capitol View, Atlanta, GA 30310, USA","(33.7179062, -84.4146403)"
13,NPU X,2466,38.5,64886.0,714.0,16371.0,13.4,1.1,0.0,161,Hammond Park,"Hammond Park, Atlanta, GA, USA","(33.6771069, -84.4084799)"
14,NPU X,2262,43.5,49044.0,508.0,18414.0,23.4,0.5,0.0,161,Perkerson,"Perkerson, Atlanta, GA, USA","(33.6855699, -84.4082679)"
15,NPU X,4978,35.7,76572.0,910.0,27164.0,20.9,0.2,1.6,161,Sylvan Hills,"Sylvan Hills, Atlanta, GA 30310, USA","(33.7092744, -84.4177054)"
16,NPU G,2795,24.6,52729.0,639.0,19492.0,22.2,1.6,0.0,71,Almond Park,"Almond Park, Atlanta, GA 30318, USA","(33.7815374, -84.4671424)"
17,NPU G,1974,37.0,104824.0,879.0,33194.0,10.2,1.2,2.1,71,Atlanta Industrial Park,"Atlanta Industrial Park, Donald Lee Hollowell Pkwy NW, Atlanta, GA 30331, USA","(33.7994128, -84.4933758)"
18,NPU G,3497,34.9,116029.0,777.0,25951.0,15.9,0.0,0.5,71,Carver Hills,"Carver Hills, Atlanta, GA 30318, USA","(33.7993388, -84.46058219999999)"
19,NPU Y,2361,40.3,79131.0,859.0,21154.0,23.5,0.1,1.7,70,Amal Heights,"Amal Heights, Atlanta, GA 30315, USA","(33.7081093, -84.3982238)"
20,NPU Y,3776,38.7,86599.0,670.0,25871.0,16.0,5.2,0.0,70,Chosewood Park,"Chosewood Park, Atlanta, GA 30315, USA","(33.7203589, -84.376547)"
21,NPU Y,1615,35.5,69796.0,912.0,23181.0,22.4,0.1,0.9,70,Lakewood Heights,"Lakewood Heights, Atlanta, GA 30315, USA","(33.7048298, -84.3785372)"
22,NPU Y,2616,29.3,71558.0,712.0,16413.0,11.9,2.8,0.3,70,South Atlanta,"South Atlanta, Atlanta, GA 30315, USA","(33.7123595, -84.3844304)"
23,NPU E,3379,42.3,482237.0,1305.0,116146.0,5.1,8.8,2.3,587,Ansley Park,"Ansley Park, Atlanta, GA, USA","(33.794558, -84.3790372)"
24,NPU E,3058,31.8,264421.0,1221.0,75565.0,5.1,1.7,1.0,587,Ardmore,"Ardmore, Atlanta, GA 30309, USA","(33.8048477, -84.39756709999999)"
25,NPU E,4120,27.1,257667.0,1190.0,46956.0,2.8,5.6,3.3,587,Atlantic Station,"Atlantic Station, Atlanta, GA, USA","(33.7912543, -84.3987406)"
