,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Adair Park,33.7302639,-84.4107008,Adair Park One,33.73052473645102,-84.41283731478808,Park
1,Adair Park,33.7302639,-84.4107008,Monday Night Garage,33.72940670048745,-84.41830253935484,Brewery
2,Adair Park,33.7302639,-84.4107008,Boxcar Atl,33.729955,-84.417383,Gastropub
3,Adair Park,33.7302639,-84.4107008,Atlanta BeltLine Corridor under Lee/Murphy,33.72720458021175,-84.41723835207664,Trail
4,Adair Park,33.7302639,-84.4107008,Krispy Kreme Doughnuts,33.73763,-84.41595,Donut Shop
5,Adair Park,33.7302639,-84.4107008,Healthful Essence,33.73738076364708,-84.41646271933033,Vegetarian / Vegan Restaurant
6,Adair Park,33.7302639,-84.4107008,Hong Kong City,33.73816618029647,-84.41439150788719,Chinese Restaurant
7,Adair Park,33.7302639,-84.4107008,Big Bear Foods,33.736575896999,-84.41812947214204,Grocery Store
8,Adair Park,33.7302639,-84.4107008,Subway,33.721898397100226,-84.40830276519158,Sandwich Place
9,Adair Park,33.7302639,-84.4107008,Chevron,33.72188814179446,-84.40821298047304,Gas Station
10,Adair Park,33.7302639,-84.4107008,Atlanta Food Mart,33.72224044799805,-84.40757751464844,Convenience Store
11,Adair Park,33.7302639,-84.4107008,Chanterelle's,33.737436695198525,-84.41557632007908,Southern / Soul Food Restaurant
12,Adair Park,33.7302639,-84.4107008,Atlanta Beltline Westside Trail,33.72621234380516,-84.41365804605059,Trail
13,Adair Park,33.7302639,-84.4107008,Cre8tiv Spaces,33.73598277568817,-84.41044807434082,Music Venue
14,Adair Park,33.7302639,-84.4107008,The Bakery,33.724926,-84.41439,Art Gallery
15,Adair Park,33.7302639,-84.4107008,Ok Yaki,33.729375,-84.418087,Pop-Up Shop
16,Adair Park,33.7302639,-84.4107008,MARTA Car #116,33.736240908889904,-84.41369395278156,Light Rail Station
17,Adair Park,33.7302639,-84.4107008,Hop City- West End,33.730146,-84.4186,Beer Store
18,Adair Park,33.7302639,-84.4107008,Lee + White,33.73040733870302,-84.41970840096474,Market
19,Adair Park,33.7302639,-84.4107008,Metropolitan & Ralph David Abernathy,33.73805797255634,-84.40815379768249,Intersection
20,Adair Park,33.7302639,-84.4107008,Li Package Store,33.72575756,-84.41953163,Liquor Store
21,Adair Park,33.7302639,-84.4107008,Jimmy Jazz,33.73822330199724,-84.41478252410889,Clothing Store
22,Adair Park,33.7302639,-84.4107008,Wings And Seafood,33.72163424036485,-84.4080919930855,Wings Joint
23,Adair Park,33.7302639,-84.4107008,Metro Package Store,33.7216222588076,-84.40808106961862,Liquor Store
24,Capitol Gateway,33.7453143,-84.38412249999999,Nick's Food To Go,33.7474921065436,-84.37974881634432,Greek Restaurant
25,Capitol Gateway,33.7453143,-84.38412249999999,Daddy D'z,33.74713709278917,-84.37902989470064,BBQ Joint
26,Capitol Gateway,33.7453143,-84.38412249999999,Farm Burger Grant Park,33.7464701,-84.37843579999999,Burger Joint
27,Capitol Gateway,33.7453143,-84.38412249999999,1996 Olympic Games Cauldron,33.74162025811199,-84.38810554098399,Historic Site
28,Capitol Gateway,33.7453143,-84.38412249999999,Student Recreation Center,33.75232496440814,-84.38432067342521,Gym
29,Capitol Gateway,33.7453143,-84.38412249999999,Augustine's,33.746687352061095,-84.37686217912974,Pub
