,Neighborhood,Area,Population,Median Income,Median Rent,Num Males,Num Females,Median Age Male,Median Age Female
0,26th Street/Ardmore,0.070,341,66548,1113,170,170,31.5,29.3
1,Aberdeen Forest,0.322,705,82962,1259,274,430,36.3,37.4
2,Adair Park,0.375,1645,24874,626,760,885,34.2,39.7
3,Adamsville,0.995,3734,24372,593,1407,2326,20.6,33.2
4,Amberidge,0.177,313,137237,2581,147,166,52.1,49.0
5,Ansley Park,0.589,2188,81342,1097,1030,1158,40.8,40.1
6,Arden Habersham,0.220,242,250001,1100,143,99,40.7,49.7
7,Arrowood Drive Neighbourhood,0.188,512,,,197,314,36.6,43.8
8,Ashford Park,1.677,2928,75381,1042,1628,1299,33.5,33.5
9,Atkins Park,0.046,452,63580,796,232,219,39.3,36.5
10,Atlanta University,0.521,8485,24235,584,5843,4290,31.7,27.5
11,Atlantic Station,0.683,2407,57495,1137,1425,981,28.6,27.1
12,Baker Hills,0.298,508,29056,770,257,250,21.8,39.8
13,Bankhead,0.064,164,69722,881,103,60,37.5,34.3
14,Bedford Pine,0.423,7195,50307,844,3295,3899,32.4,32.0
15,Bellwood,0.116,965,38068,770,551,413,33.6,33.3
16,Benteen,0.133,608,52644,609,324,283,38.2,32.4
17,Bolton,1.765,2236,86349,1135,1183,1053,33.3,32.4
18,Boulevard Heights,0.196,402,68000,758,204,198,41.0,33.9
19,Breakwater,0.387,685,137237,2750,322,363,52.1,49.0
20,Briarcliff,0.739,1890,63542,1620,994,896,38.6,40.9
21,Briarwood Blossom,0.143,49,36604,741,33,15,29.9,45.4
22,Brookhaven,8.577,13023,84415,1061,5839,7184,33.5,34.5
23,Brookhaven,8.577,13023,84415,1061,5839,7184,33.5,34.5
24,Brookwood,0.045,137,68154,1147,77,60,30.8,29.7
25,Brookwood Hills,0.260,809,71815,1148,454,354,32.4,28.8
26,Buckhead,4.778,22617,90441,1070,11634,10982,32.9,33.4
27,Burdette Ridge,0.099,233,24947,645,109,124,23.4,23.6
28,Butler Street,0.146,1604,41648,710,731,872,36.4,26.4
29,Cabbagetown,0.141,753,65610,1051,391,361,37.2,34.5
30,Cambridge Estates,0.292,420,153152,,208,211,42.9,41.8
31,Candler Park,0.636,3977,78494,900,1974,2002,36.2,36.6
32,Capitol View,0.577,3328,35722,799,1647,1681,33.5,37.4
